Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,5380924,4984347,4554862,4230528
Liabilities,,,,
Total Liabilities,4705802,4360214,3951488,3725319
Stockholders' Equity,,,,
Common Stock,157784,157784,157784,144559
Retained Earnings,288803,248167,216761,194516
Accumulated other comprehensive income,-21730,-28416,-17771,-19454
Total stockholders' equity,675122,624133,603374,505209
Total liabilities and stockholders' equity,5380924,4984347,4554862,4230528
