Breakdown,ttm,1/31/2020,1/31/2019,1/31/2018,1/31/2017
Net Income,15516,15516,-16671,18717,7261
Change in working capital,83,83,233,97,122
Other working capital,-1926,-1926,-1499,-697,-365
Net cash provided by operating activites,-1926,-1926,-1499,-697,-365
Purchases of investments,-11104,-11104,-12832,-5466,-2909
Sales/Maturities of investments,9329,9329,6692,5679,2508
Net cash used for investing activites,-1775,-1775,-6140,213,-401
Net change in cash,2335,2335,9933,1568,-437
Cash at beginning of period,12756,12756,2823,1255,1692
Cash at end of period,15091,15091,12756,2823,1255
Operating Cash Flow,-1926,-1926,-1499,-697,-365
Free Cash Flow,-1926,-1926,-1499,-697,-365
