Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,83669,2079035,1270840,2103754
Depreciation & amortization,-,619783,652827,657780
Change in working capital,-,-1053124,168319,-1042930
Inventory,-,-676755,-378547,-692408
Other working capital,-,-627077,1749046,1290650
Other non-cash items,-,59039,185344,-58417
Net cash provided by operating activites,-,1753124,2403825,1870226
Investments in property plant and equipment,-,-2380201,-654779,-579576
Purchases of investments,-,-983535,-,-
Sales/Maturities of investments,-,1613247,107782,200239
Other investing activites,-,-9184,-50851,511232
Net cash used for investing activites,-,-1751168,-582705,149614
Net change in cash,-,-114817,353517,364885
Cash at beginning of period,-,6316932,5963415,5598529
Cash at end of period,-,6202114,6316932,5963415
Operating Cash Flow,-,1753124,2403825,1870226
Capital Expenditure,-,-2380201,-654779,-579576
Free Cash Flow,-,-627077,1749046,1290650
