Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,8947653,8007382,7082384,6370448
Liabilities,,,,
Total Liabilities,8104971,7292179,6474780,5847559
Stockholders' Equity,,,,
Common Stock,54,53,53,53
Retained Earnings,616611,500868,389554,307151
Accumulated other comprehensive income,5749,-4741,-198,-624
Total stockholders' equity,842180,714701,607102,522512
Total liabilities and stockholders' equity,8947653,8007382,7082384,6370448
