Breakdown,ttm,6/30/2019,6/30/2018
Purchases of investments,-,-536000,-725997
Other investing activites,-,-13454,-
Net cash used for investing activites,-,-549454,-725997
Common stock issued,-,545305,726655
Dividends Paid,-50858,-40805,-17195
Net cash used privided by (used for) financing activities,494447,504500,709460
Net change in cash,2617,-1328,1921
Cash at beginning of period,1183,1921,-
Cash at end of period,3800,593,1921
Free Cash Flow,55774,43626,18458
