Breakdown,ttm,12/31/2019
Investments in property plant and equipment,-458,-458
Purchases of investments,-30531,-30531
Net cash used for investing activites,-30989,-30989
Debt repayment,-178,-178
Common stock issued,75000,75000
Common stock repurchased,-3909,-3909
Dividends Paid,-27829,-27829
Other financing activites,527,527
Net cash used privided by (used for) financing activities,43611,43611
Net change in cash,21612,21612
Cash at beginning of period,7799,7799
Cash at end of period,29340,29340
Capital Expenditure,-458,-458
Free Cash Flow,8532,8532
