Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-50.453,-54.791,-241.032,-361.342,-179.4
Other investing activites,-,169.605,62.066,7.93,-
Net cash used for investing activites,119.152,114.814,-175.879,-310.683,-162.259
Debt repayment,-,-,-,-,-105
Common stock issued,120,200,-,650.248,1267
Common stock repurchased,-1.922,-3.769,-,-35.504,-76.611
Net cash used privided by (used for) financing activities,118.078,196.231,-,614.744,1292
Net change in cash,-49.688,1.717,-596.455,61.57,548.408
Cash at beginning of period,126.969,105.872,702.327,640.757,92.349
Cash at end of period,77.281,100.531,105.872,702.327,640.757
Capital Expenditure,-50.453,-54.791,-241.032,-361.342,-179.4
Free Cash Flow,-337.371,-364.119,-661.608,-603.833,-761.22
