Attribute,Value
Previous Close,86.13
Open,82.68
Bid,30.01 x 800
Ask,98.26 x 800
Day's Range,82.60 - 85.39
52 Week Range,27.85 - 167.17
Volume,20924
Avg. Volume,109793
Net Assets,71.52M
NAV,81.89
PE Ratio (TTM),
Yield,0.00%
YTD Daily Total Return,158.40%
Beta (5Y Monthly),1.00
Expense Ratio (net),0.89%
Inception Date,2010-11-29
