Breakdown,ttm,2/28/2019,2/28/2018,2/28/2017
Net Income,1822320,1645382,665263,1126567
Depreciation & amortization,-,456346,496409,556226
Change in working capital,-,-2176096,-413320,5070302
Inventory,-,-1973725,-603983,1488094
Other working capital,-,333961,-10368,4832082
Other non-cash items,-,-4766,-23237,58393
Net cash provided by operating activites,-,459320,486810,5803459
Investments in property plant and equipment,-,-125359,-497178,-971377
Purchases of investments,-,-2467488,-2061,-2079
Other investing activites,-,14086,1187582,-1486886
Net cash used for investing activites,-,-2572752,691632,-2459862
Net change in cash,-,-2767365,932926,2464298
Cash at beginning of period,-,9802290,8869363,6405064
Cash at end of period,-,7034924,9802290,8869363
Operating Cash Flow,-,459320,486810,5803459
Capital Expenditure,-,-125359,-497178,-971377
Free Cash Flow,-,333961,-10368,4832082
