Breakdown,ttm,12/31/2019
Net Income,5445,5445
Change in working capital,1318,1318
Other working capital,6763,6763
Net cash provided by operating activites,6763,6763
Other investing activites,-406435,-406435
Net cash used for investing activites,-406435,-406435
Debt repayment,-150,-150
Common stock issued,400000,400000
Other financing activites,-8865,-8865
Net cash used privided by (used for) financing activities,400985,400985
Net change in cash,1313,1313
Cash at beginning of period,52.489,52.489
Cash at end of period,1365,1365
Operating Cash Flow,6763,6763
Free Cash Flow,6763,6763
