Breakdown,12/31/2018,12/31/2017,12/31/2016
Total Assets,2444300,1891600,1510000
Liabilities,,,
Total Liabilities,2207200,1642500,1274000
Stockholders' Equity,,,
Common Stock,7400,7400,7400
Retained Earnings,147400,159200,149000
Total stockholders' equity,237100,249100,236000
Total liabilities and stockholders' equity,2444300,1891600,1510000
