Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,166130,166130,155389,151144,150109
Interest Expense,40888,40888,30984,20804,16554
Income Before Tax,71579,71579,65777,62354,57539
Income Tax Expense,14376,14376,12706,33878,17472
Income from Continuing Operations,57203,57203,53071,28476,40067
Net Income,57203,57203,53071,28476,40067
Net Income available to common shareholders,57083,57083,52923,28358,39878
Basic EPS,-,-,3.40,1.83,2.59
Diluted EPS,-,-,3.39,1.82,2.57
Basic Average Shares,-,-,15571,15510,15422
Diluted Average Shares,-,-,15626,15588,15504
