Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,7301000,7055000,7217000,6576000
Depreciation & amortization,1107000,1042000,1034000,1188000
Change in working capital,-955000,71000,-520000,-333000
Inventory,272000,-444000,492000,-555000
Other working capital,7341000,7327000,7117000,7660000
Other non-cash items,337000,-184000,-5000,187000
Net cash provided by operating activites,8389000,8448000,7813000,8198000
Investments in property plant and equipment,-1048000,-1121000,-696000,-538000
Purchases of investments,-,-,-4000,-1301000
Sales/Maturities of investments,-,67000,42000,556000
Other investing activites,187000,-2083000,-216000,1291000
Net cash used for investing activites,-2999000,-3130000,-873000,25000
Net change in cash,832000,3032000,4882000,5853000
Cash at beginning of period,38442000,37846000,32963000,27110000
Cash at end of period,39438000,40879000,37846000,32963000
Operating Cash Flow,8389000,8448000,7813000,8198000
Capital Expenditure,-1048000,-1121000,-696000,-538000
Free Cash Flow,7341000,7327000,7117000,7660000
