Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Investments in property plant and equipment,-4116,-3465,-2853,-122
Purchases of investments,-,-1419,-3002,-856
Other investing activites,-,-,-,-620
Net cash used for investing activites,-4833,-4884,-5855,-1598
Common stock issued,-,-,1065,9124
Common stock repurchased,-,-,-188,-82
Dividends Paid,-,-134,-412,-
Other financing activites,-,42,-,-
Net cash used privided by (used for) financing activities,-6472,3723,7600,9042
Net change in cash,-296,-94,-9159,-11618
Cash at beginning of period,7400,6770,15905,28055
Cash at end of period,7104,6916,6770,15980
Capital Expenditure,-4116,-3465,-2853,-122
Free Cash Flow,6893,-2398,-13757,-19184
