Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,9595000,12967000,15791000,13855000
Depreciation & amortization,18751000,17881000,17104000,16894000
Change in working capital,1748000,246000,-1463000,-844000
Inventory,1676000,-957000,-1932000,-2062000
Other working capital,9554000,3548000,11113000,8008000
Other non-cash items,989000,839000,995000,5787000
Net cash provided by operating activites,33382000,31760000,33006000,37309000
Investments in property plant and equipment,-23828000,-28212000,-21893000,-29301000
Purchases of investments,-540000,-50000,-428000,-32000
Sales/Maturities of investments,-,-,-,249000
Other investing activites,147000,10000,-969000,-360000
Net cash used for investing activites,-24188000,-27763000,-22921000,-29203000
Net change in cash,3993000,715000,2306000,13173000
Cash at beginning of period,43728000,44698000,42392000,31560000
Cash at end of period,47708000,45413000,44698000,44734000
Operating Cash Flow,33382000,31760000,33006000,37309000
Capital Expenditure,-23828000,-28212000,-21893000,-29301000
Free Cash Flow,9554000,3548000,11113000,8008000
