Breakdown,ttm,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-8060,-3486,-3303,-2910
Net cash used for investing activites,-8136,-3486,-3303,-2910
Common stock issued,-,3715,5029,5101
Common stock repurchased,-,-67,-180,-50
Other financing activites,-,7,-,-
Net cash used privided by (used for) financing activities,8981,3655,4849,5051
Net change in cash,-917,-1024,-105,844
Cash at beginning of period,1238,1091,1044,253
Cash at end of period,321,86,1091,1044
Capital Expenditure,-8060,-3486,-3303,-2910
Free Cash Flow,-9822,-4679,-4954,-4207
