Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017
Investments in property plant and equipment,-,-,-448.739,-910.536
Acquisitions net,-,-,115.12,-
Other investing activites,-1683,-1683,-329.432,234.968
Net cash used for investing activites,-1683,-1683,-663.051,-675.568
Debt repayment,-1336,-1336,-87.138,-
Common stock issued,702.784,702.784,2212,10000
Common stock repurchased,-8.222,-8.222,-120,-652
Other financing activites,-357.164,-357.164,-693.846,-814.974
Net cash used privided by (used for) financing activities,7093,7093,2346,8533
Net change in cash,1523,1523,-6796,6359
Cash at beginning of period,320.276,320.276,7275,986.603
Cash at end of period,1832,1832,320.276,7275
Capital Expenditure,-,-,-448.739,-910.536
Free Cash Flow,-3887,-3887,-8927,-2409
