Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-,-,-39.095,-208.09
Acquisitions net,-,-403.812,-500,-,-
Purchases of investments,-,-,-,-21.781,-
Other investing activites,-,-,-,6.781,-
Net cash used for investing activites,-,-403.812,-500,-54.095,-208.09
Common stock issued,-,-,8982,6622,3456
Common stock repurchased,-85.579,-1.051,-639.819,-419.363,-191.44
Other financing activites,-,-,-,500,-
Net cash used privided by (used for) financing activities,1414,-1.051,8342,6703,3264
Net change in cash,-1851,-2639,1130,93.087,2394
Cash at beginning of period,2548,3905,2818,2720,326.056
Cash at end of period,696.588,1267,3905,2818,2720
Capital Expenditure,-,-,-,-39.095,-208.09
Free Cash Flow,-1521,-2234,-6712,-6595,-870.032
