Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,451709,581133,1739276,1269814
Depreciation & amortization,-,1309171,1276678,1198773
Change in working capital,-,-389625,-688374,-817305
Inventory,-,-221459,-376073,-340799
Other working capital,-,11743,640174,-419836
Other non-cash items,-,-135578,222305,-54044
Net cash provided by operating activites,-,1213121,2746455,2134131
Investments in property plant and equipment,-,-1201378,-2106281,-2553967
Purchases of investments,-,-185,-158,-142
Sales/Maturities of investments,-,-,11141,9230
Other investing activites,-,-305915,-183598,19028
Net cash used for investing activites,-,-1630393,-2332533,-2560786
Net change in cash,-,-413083,1516353,-1064669
Cash at beginning of period,-,5601571,4085217,5149887
Cash at end of period,-,5188487,5601571,4085217
Operating Cash Flow,-,1213121,2746455,2134131
Capital Expenditure,-,-1201378,-2106281,-2553967
Free Cash Flow,-,11743,640174,-419836
