Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,414922,291041,234570,194878
Depreciation & amortization,-,184102,179705,173805
Change in working capital,-,205896,-207784,-343133
Inventory,-,258440,-235797,-309525
Other working capital,-,342124,-98131,-9442
Other non-cash items,-,18600,20556,88803
Net cash provided by operating activites,-,743704,121643,190588
Investments in property plant and equipment,-,-401580,-219774,-200030
Purchases of investments,-,-10530,-10530,-10530
Other investing activites,-,3412,13872,-13884
Net cash used for investing activites,-,-408698,-216432,-207602
Net change in cash,-,242631,-71762,99923
Cash at beginning of period,-,623306,695069,595146
Cash at end of period,-,865938,623306,695069
Operating Cash Flow,-,743704,121643,190588
Capital Expenditure,-,-401580,-219774,-200030
Free Cash Flow,-,342124,-98131,-9442
