Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,3003000,2782000,2604000,2680000
Depreciation & amortization,-,5050000,4871000,4980000
Change in working capital,-,157000,-615000,106000
Inventory,-,-50000,-59000,-25000
Other working capital,-,4544000,1000000,3228000
Other non-cash items,-,169000,933000,1641000
Net cash provided by operating activites,-,7766000,7088000,9796000
Investments in property plant and equipment,-,-3222000,-6088000,-6568000
Purchases of investments,-,-15000,-18000,-17000
Sales/Maturities of investments,-,250000,-,40000
Other investing activites,-,-175000,62000,186000
Net cash used for investing activites,-,-2974000,-6005000,-6296000
Net change in cash,-,1237000,-854000,1207000
Cash at beginning of period,-,4637000,5491000,4191000
Cash at end of period,-,5897000,4637000,5491000
Operating Cash Flow,-,7766000,7088000,9796000
Capital Expenditure,-,-3222000,-6088000,-6568000
Free Cash Flow,-,4544000,1000000,3228000
