Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-107264,-152255,-248058,-309472,-305003
Purchases of investments,-,-,-204,-,-
Net cash used for investing activites,-98317,-75591,-154323,-230740,-246731
Debt repayment,-80207,-70907,-97239,-18000,-154700
Common stock issued,-,-,-,28508,35358
Common stock repurchased,-,-,-13,-1261,-1410
Dividends Paid,-,-,-12301,-12128,-10877
Other financing activites,-,-,-6217,-1092,-475
Net cash used privided by (used for) financing activities,-79938,-50541,10351,79501,131096
Net change in cash,-26234,47389,21958,1631,4106
Cash at beginning of period,46580,29265,7307,5676,1570
Cash at end of period,20346,76654,29265,7307,5676
Capital Expenditure,-107264,-152255,-248058,-309472,-305003
Free Cash Flow,44757,21266,-82128,-156602,-185262
