Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-437100,-443600,-403800,-241500,-231100
Acquisitions net,-36300,-63000,-475900,-779300,-1100
Purchases of investments,-,-8500,-,-,-
Sales/Maturities of investments,-,-,400,600,600
Other investing activites,-3500,-3800,-2600,1200,-1500
Net cash used for investing activites,-466000,-509700,-729600,-995800,-205500
Debt repayment,-6176200,-3704200,-1974700,-370000,-80000
Common stock issued,-,-,-200,989900,-
Common stock repurchased,-,-,-200,-,-26500
Dividends Paid,-174500,-174900,-156700,-110600,-113100
Net cash used privided by (used for) financing activities,205500,-19800,-87700,830500,-45800
Net change in cash,9900,100700,-234000,276300,196500
Cash at beginning of period,505300,606200,844600,569400,372200
Cash at end of period,515200,710700,606200,844600,569400
Capital Expenditure,-437100,-443600,-403800,-241500,-231100
Free Cash Flow,-166700,186600,179500,200100,216700
