Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017
Investments in property plant and equipment,-213015,-215100,-124776,-83354
Acquisitions net,-50848,-370396,-91774,-
Purchases of investments,-,-,0,-39951
Other investing activites,-,2485,7338,-
Net cash used for investing activites,-257772,-581065,-209212,-121476
Debt repayment,-180000,-176000,-77500,-62623
Common stock issued,424926,424926,120067,439583
Common stock repurchased,-8001,-14669,-3401,-19373
Dividends Paid,-23168,-17770,-4415,-
Other financing activites,-,-19750,-,-403220
Net cash used privided by (used for) financing activities,311903,523802,147777,84735
Net change in cash,124198,17746,8165,7920
Cash at beginning of period,16110,21443,13278,5358
Cash at end of period,140308,39189,21443,13278
Capital Expenditure,-213015,-215100,-124776,-83354
Free Cash Flow,-142948,-140091,-55176,-38693
