Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-75993,-102039,-56297,-28927,-25208
Acquisitions net,-46,-48,-243,-410,-578
Purchases of investments,-1097796,-1024610,-396982,-391181,-369811
Sales/Maturities of investments,1087757,1007254,373881,339297,240954
Other investing activites,-,-,25000,-,-
Net cash used for investing activites,-60664,-124634,-81398,-74663,-136944
Debt repayment,-1920,-1920,-,-,-
Common stock repurchased,-,-,-,-,0
Dividends Paid,-164856,-167651,-156474,-145765,-135985
Net cash used privided by (used for) financing activities,-166289,-169571,-131491,-95814,-111209
Net change in cash,100184,70322,50696,26649,6183
Cash at beginning of period,244688,266417,215721,189072,182889
Cash at end of period,344872,336739,266417,215721,189072
Capital Expenditure,-75993,-102039,-56297,-28927,-25208
Free Cash Flow,251144,262488,207288,168199,229128
