Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,3033707,3610700,2625078,1374595
Depreciation & amortization,-,736956,636529,645995
Change in working capital,-,-1985724,-5043644,693000
Inventory,-,-1304734,-3870435,455123
Other working capital,-,2115596,-2623618,2551435
Other non-cash items,-,642852,-214735,100557
Net cash provided by operating activites,-,3048744,-1759355,3070427
Investments in property plant and equipment,-,-933148,-864263,-518992
Purchases of investments,-,-110501,-9629,-9313
Sales/Maturities of investments,-,100000,187717,3
Other investing activites,-,1,-100001,-
Net cash used for investing activites,-,-943100,-778079,-527806
Net change in cash,-,1769912,-2759446,2272987
Cash at beginning of period,-,2541434,5300881,3027894
Cash at end of period,-,4311347,2541434,5300881
Operating Cash Flow,-,3048744,-1759355,3070427
Capital Expenditure,-,-933148,-864263,-518992
Free Cash Flow,-,2115596,-2623618,2551435
