Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-1.965,-5.609,-,-379.239
Sales/Maturities of investments,-,-,-,-,660.707
Other investing activites,-,-,-,-1702,449.293
Net cash used for investing activites,-,-1.965,-5.609,5420,730.761
Debt repayment,-,-,-,-,-3434
Common stock issued,-,-,-,355.555,873
Net cash used privided by (used for) financing activities,-,-,-,355.555,-2561
Net change in cash,-507.38,-659.29,367.643,2350,-6492
Cash at beginning of period,2820,3102,2803,453.402,6945
Cash at end of period,2313,2666,3102,2803,453.402
Capital Expenditure,-,-1.965,-5.609,-,-379.239
Free Cash Flow,-507.38,-659.29,367.643,-3426,-5041
