Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1407000,1226000,1214000,1047000
Depreciation & amortization,-,310000,276000,340000
Change in working capital,-,225000,-2050000,-7358000
Inventory,-,176000,-24000,-47000
Other working capital,-,1729000,-403000,-5528000
Other non-cash items,-,-75000,42000,123000
Net cash provided by operating activites,-,2009000,-151000,-5347000
Investments in property plant and equipment,-,-280000,-252000,-181000
Acquisitions net,-,-,-716000,-
Purchases of investments,-,-10000,-10000,-13000
Sales/Maturities of investments,-,31000,54000,64000
Other investing activites,-,-4000,-43000,152000
Net cash used for investing activites,-,-66000,-947000,307000
Net change in cash,-,1297000,-1430000,-5079000
Cash at beginning of period,-,6355000,7777000,12857000
Cash at end of period,-,7652000,6355000,7777000
Operating Cash Flow,-,2009000,-151000,-5347000
Capital Expenditure,-,-280000,-252000,-181000
Free Cash Flow,-,1729000,-403000,-5528000
