Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,247265,232752,239032,203701
Liabilities,,,,
Total Liabilities,204540,190589,186206,135907
Stockholders' Equity,,,,
Common Stock,91816,86533,86199,80342
Retained Earnings,-49580,-41758,-33010,-11468
Accumulated other comprehensive income,489,-2612,-363,-1080
Total stockholders' equity,42725,42163,52826,67794
Total liabilities and stockholders' equity,247265,232752,239032,203701
