Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,179193,245205,310651,351344
Depreciation & amortization,-,209087,228119,232435
Change in working capital,-,-195816,72771,-348614
Inventory,-,-55216,64190,-281791
Other working capital,-,-51665,677668,92140
Other non-cash items,-,33614,34763,21758
Net cash provided by operating activites,-,200021,736537,174887
Investments in property plant and equipment,-,-251686,-58869,-82747
Purchases of investments,-,-559424,-6012,-53823
Sales/Maturities of investments,-,829201,-,100000
Other investing activites,-,545,276,1998
Net cash used for investing activites,-,18636,-64605,-33992
Net change in cash,-,143405,674101,-164458
Cash at beginning of period,-,1880185,1206083,1370541
Cash at end of period,-,2023590,1880185,1206083
Operating Cash Flow,-,200021,736537,174887
Capital Expenditure,-,-251686,-58869,-82747
Free Cash Flow,-,-51665,677668,92140
