Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Revenue,50509,48361,42395,36806,32186
Interest Expense,7951,6308,4014,3077,2581
Income Before Tax,21892,21026,18503,14928,11642
Income Tax Expense,3396,3542,4095,3741,2679
Income from Continuing Operations,18496,17484,14408,11187,8963
Net Income,18496,17484,14408,11187,8963
Net Income available to common shareholders,18496,17484,14408,11187,8963
Basic EPS,-,2.05,1.69,1.32,1.06
Diluted EPS,-,2.05,1.69,1.31,1.06
Basic Average Shares,-,8538,8514,8495,8459
Diluted Average Shares,-,8538,8535,8513,8476
