Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Net Income,8249000,8080000,7301000,6997000,6267000
Depreciation & amortization,538000,602000,459000,408000,302000
Change in working capital,-3230000,-4191000,-5810000,-582000,-471000
Inventory,38000,-112000,-186000,-52000,-44000
Other working capital,5440000,3708000,1170000,7301000,4192000
Other non-cash items,110000,77000,-156000,255000,-830000
Net cash provided by operating activites,5660000,4550000,1734000,7484000,4386000
Investments in property plant and equipment,-220000,-842000,-564000,-183000,-194000
Acquisitions net,-,-,-,-1359000,-
Purchases of investments,-35701000,-28402000,-26407000,-42220000,-35520000
Sales/Maturities of investments,35023000,23709000,24437000,39923000,33394000
Other investing activites,-30000,-50000,-14000,-44000,-54000
Net cash used for investing activites,-927000,-5572000,-2063000,-3793000,-2365000
Net change in cash,1149000,-4337000,-3478000,1091000,-145000
Cash at beginning of period,7193000,14594000,18073000,16981000,17127000
Cash at end of period,8344000,10256000,14594000,18073000,16981000
Operating Cash Flow,5660000,4550000,1734000,7484000,4386000
Capital Expenditure,-220000,-842000,-564000,-183000,-194000
Free Cash Flow,5440000,3708000,1170000,7301000,4192000
