Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,11467000,11517000,11316000,10533000
Depreciation & amortization,-,3128000,2707000,2646000
Change in working capital,-,-1461000,-1220000,-161000
Inventory,-,-1151000,-871000,-1196000
Other working capital,-,9632000,10165000,10869000
Other non-cash items,-,392000,810000,802000
Net cash provided by operating activites,-,13706000,13843000,14113000
Investments in property plant and equipment,-,-4074000,-3678000,-3244000
Purchases of investments,-,-3280000,-164000,-120000
Sales/Maturities of investments,-,185000,114000,120000
Other investing activites,-,-965000,-871000,-810000
Net cash used for investing activites,-,-8134000,-4599000,-4054000
Net change in cash,-,1105000,6628000,7813000
Cash at beginning of period,-,35135000,28507000,20693000
Cash at end of period,-,36241000,35135000,28507000
Operating Cash Flow,-,13706000,13843000,14113000
Capital Expenditure,-,-4074000,-3678000,-3244000
Free Cash Flow,-,9632000,10165000,10869000
