Breakdown,ttm,3/31/2017
Total Revenue,1629319,1629319
Cost of Revenue,1224038,1224038
Gross Profit,405280,405280
Selling General and Administrative,376430,-
Total Operating Expenses,376430,376430
Operating Income or Loss,28850,28850
Interest Expense,13314,13314
Income Before Tax,9186,9186
Income Tax Expense,-10209,-10209
Income from Continuing Operations,19395,19395
Net Income,19395,19395
Net Income available to common shareholders,19395,19395
