Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,49860,49860,-1544389,-2670515,-215633
Depreciation & amortization,13991,13991,58144,317310,87705
Change in working capital,-363993,-363993,95222,-180128,-708323
Inventory,40488,40488,-358454,-260923,141019
Other working capital,-554980,-554980,-1113712,-1465318,-1418719
Other non-cash items,-195301,-195301,38132,288183,-232630
Net cash provided by operating activites,-541963,-541963,-1094234,-1394494,-1240274
Investments in property plant and equipment,-13017,-13017,-19478,-70824,-178445
Acquisitions net,-,-,-,0,-
Purchases of investments,-,-,-,-,-337800
Sales/Maturities of investments,-,-,-,-,5889
Other investing activites,-1714,-1714,9956,-9702,-12177
Net cash used for investing activites,-12731,-12731,-3522,2069822,-341772
Net change in cash,186808,186808,221434,-841141,493441
Cash at beginning of period,443879,443879,222444,1063586,570144
Cash at end of period,630687,630687,443879,222444,1063586
Operating Cash Flow,-541963,-541963,-1094234,-1394494,-1240274
Capital Expenditure,-13017,-13017,-19478,-70824,-178445
Free Cash Flow,-554980,-554980,-1113712,-1465318,-1418719
