Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-18748,-12805,-5231,-1689,-2558
Other investing activites,-,-27,-62,20,-
Net cash used for investing activites,-18767,-12832,-5293,-1669,-2558
Common stock issued,11614,17417,13109,7754,-
Common stock repurchased,-470,-747,-636,-399,-
Net cash used privided by (used for) financing activities,11144,16670,12473,7355,-
Net change in cash,-10838,1451,5508,4414,-4205
Cash at beginning of period,23276,11547,6039,1625,5827
Cash at end of period,12438,12998,11547,6039,1625
Capital Expenditure,-18748,-12805,-5231,-1689,-2558
Free Cash Flow,-21963,-15192,-6903,-2961,-4205
