Breakdown,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Assets,92558,110503,82288,66349
Liabilities,,,,
Total Liabilities,8374,23242,11159,3510
Stockholders' Equity,,,,
Common Stock,69295,68294,67882,56443
Retained Earnings,14889,13727,3248,6396
Accumulated other comprehensive income,-,5240,-,-0.001
Total stockholders' equity,84184,87261,71129,62839
Total liabilities and stockholders' equity,92558,110503,82288,66349
