Breakdown,ttm,1/31/2019,1/31/2018,1/31/2017
Net Income,944667,1019408,1154493,677159
Depreciation & amortization,-,38603,40112,39720
Change in working capital,-,-1300141,602861,-1783895
Inventory,-,-2651607,1422970,-2532565
Other working capital,-,-451957,2035364,-1046478
Other non-cash items,-,84558,167568,131894
Net cash provided by operating activites,-,-451957,2035364,-1046478
Purchases of investments,-,-13901,-963,-915
Sales/Maturities of investments,-,2484800,-,-
Other investing activites,-,-5383,-3247361,230198
Net cash used for investing activites,-,2465516,-3248324,229283
Net change in cash,-,1272485,342817,-102622
Cash at beginning of period,-,1763632,1420814,1523437
Cash at end of period,-,3036117,1763632,1420814
Operating Cash Flow,-,-451957,2035364,-1046478
Free Cash Flow,-,-451957,2035364,-1046478
