Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,783000,783000,3819409,3228509,2370142
Change in working capital,61164000,61164000,-16556695,65187778,48113510
Other working capital,-273000,-273000,2759872,2008190,2286243
Other non-cash items,-7290000,-7290000,-13681352,-12720786,-14071561
Net cash provided by operating activites,-209000,-209000,3126586,2189278,2715608
Investments in property plant and equipment,-64000,-64000,-366714,-181088,-429365
Acquisitions net,-635000,-635000,-639529,-474344,-373843
Other investing activites,-,-,-,-,0
Net cash used for investing activites,-324000,-324000,-1001167,1102747,-677360
Net change in cash,-2990000,-2990000,1435133,991932,1580506
Cash at beginning of period,15442000,15442000,13564613,13601903,9601481
Cash at end of period,6965000,6965000,15385494,14446532,12418260
Operating Cash Flow,-209000,-209000,3126586,2189278,2715608
Capital Expenditure,-64000,-64000,-366714,-181088,-429365
Free Cash Flow,-273000,-273000,2759872,2008190,2286243
