Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,63454,147923,114437,90849
Liabilities,,,,
Total Liabilities,539,85176,67635,44492
Stockholders' Equity,,,,
Common Stock,17506,17506,6,6
Retained Earnings,-336,639,910,616
Accumulated other comprehensive income,0,-729,-169,-65
Total stockholders' equity,62915,62747,46802,46357
Total liabilities and stockholders' equity,63454,147923,114437,90849
