Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,21562,21562,20408,19433,19294
Interest Expense,5197,5197,3602,2630,2294
Income Before Tax,4742,4742,4585,4563,4290
Income Tax Expense,655,655,585,1185,775
Income from Continuing Operations,4087,4087,4000,3378,3515
Net Income,4087,4087,4000,3378,3515
Net Income available to common shareholders,4087,4087,4000,3378,3515
Basic EPS,-,-,0.66,0.55,0.58
Diluted EPS,-,-,0.66,0.55,0.58
Basic Average Shares,-,-,6061,6142,6060
Diluted Average Shares,-,-,6061,6142,6060
