Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-1922717,-1829401,-961012,-119733
Depreciation & amortization,-,36830,149017,64575
Change in working capital,-,767836,377422,197113
Inventory,-,-405986,234127,-344990
Other working capital,85156,377640,219059,56369
Other non-cash items,-,237164,199731,157511
Net cash provided by operating activites,99365,391849,323780,58196
Investments in property plant and equipment,-,-14209,-104721,-1827
Acquisitions net,-,-90654,-189236,-14242
Purchases of investments,-,-11081,-16273,0
Sales/Maturities of investments,-,125139,17201,0
Other investing activites,-,307243,-292939,33329
Net cash used for investing activites,28065,324314,-566453,64731
Net change in cash,-188851,-236393,-214225,242862
Cash at beginning of period,202839,253980,406563,178784
Cash at end of period,13988,178207,253980,406563
Operating Cash Flow,99365,391849,323780,58196
Capital Expenditure,-,-14209,-104721,-1827
Free Cash Flow,85156,377640,219059,56369
