Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-5070000,-3182000,563000,243000
Depreciation & amortization,897000,664000,526000,513000
Change in working capital,776000,-312000,807000,-2198000
Inventory,687000,-2141000,-278000,555000
Other working capital,-3005000,-3388000,222000,-1691000
Other non-cash items,680000,17000,-84000,-32000
Net cash provided by operating activites,-2557000,-2839000,525000,-1252000
Investments in property plant and equipment,-448000,-549000,-303000,-439000
Acquisitions net,-5461000,-1565000,-,-
Purchases of investments,-230000,-200000,-,-
Sales/Maturities of investments,514000,303000,1352000,64000
Other investing activites,-81000,-120000,65000,-58000
Net cash used for investing activites,-5697000,-2118000,1130000,-417000
Net change in cash,2165000,-2183000,1638000,-1682000
Cash at beginning of period,5045000,6210000,4572000,6254000
Cash at end of period,7275000,4027000,6210000,4572000
Operating Cash Flow,-2557000,-2839000,525000,-1252000
Capital Expenditure,-448000,-549000,-303000,-439000
Free Cash Flow,-3005000,-3388000,222000,-1691000
