Breakdown,ttm,6/30/2019
Total Revenue,31148,31148
Gross Profit,31148,31148
Research Development,5395,5395
Selling General and Administrative,41502,41502
Total Operating Expenses,46897,46897
Operating Income or Loss,-15749,-15749
Interest Expense,872,872
Income Before Tax,-15282,-15282
Income Tax Expense,0,0
Income from Continuing Operations,-15282,-15282
Net Income,-15282,-15282
Net Income available to common shareholders,-15282,-15282
Basic EPS,-,-0.46
Diluted EPS,-,-0.46
Basic Average Shares,-,33448
Diluted Average Shares,-,33448
