Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Total Revenue,1438259000,1466171000,1679563000,1501405000
Selling General and Administrative,1023725000,1036400000,1042970000,1054053000
Total Operating Expenses,1056907000,1092242000,1179890000,1059230000
Interest Expense,349349000,347157000,331781000,348746000
Income Before Tax,378052000,369870000,498922000,440596000
Income Tax Expense,105553000,104090000,146192000,128332000
Income from Continuing Operations,272499000,265780000,352730000,312264000
Net Income,272936000,266189000,352775000,312264000
Net Income available to common shareholders,272936000,266189000,352775000,312264000
Basic EPS,-,71.00,94.09,83.28
Diluted EPS,-,71.00,94.09,83.28
Basic Average Shares,-,3748789,3748952,3749190
Diluted Average Shares,-,3748789,3748952,3749190
