Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,3717000,3767000,3765000,4421000
Depreciation & amortization,7766000,5631000,6626000,5662000
Change in working capital,2018000,3068000,1801000,556000
Inventory,-1365000,1431000,-4945000,-4352000
Other working capital,3593000,5378000,3306000,2841000
Other non-cash items,-800000,195000,289000,457000
Net cash provided by operating activites,13572000,13147000,13189000,11017000
Investments in property plant and equipment,-9979000,-7769000,-9883000,-8176000
Acquisitions net,-,-102000,-,-6158000
Purchases of investments,-,-,-515000,-16000
Sales/Maturities of investments,66000,14000,17000,8000
Other investing activites,179000,33000,-143000,-45000
Net cash used for investing activites,-13957000,-5640000,-6713000,-13103000
Net change in cash,-1790000,-125000,1320000,-954000
Cash at beginning of period,6907000,7640000,6499000,7454000
Cash at end of period,5069000,7514000,7820000,6499000
Operating Cash Flow,13572000,13147000,13189000,11017000
Capital Expenditure,-9979000,-7769000,-9883000,-8176000
Free Cash Flow,3593000,5378000,3306000,2841000
