Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Other investing activites,-,-,1000,-1000,-
Net cash used for investing activites,-,-,1000,-1000,1
Debt repayment,-,-,-,-500,-
Common stock issued,-,-,-,1968,-
Common stock repurchased,-,-,-,-18.952,-
Net cash used privided by (used for) financing activities,-,-,-,1749,200
Net change in cash,-434.296,-554.069,452.56,117.976,-422.342
Cash at beginning of period,807.811,680.306,227.746,109.77,532.112
Cash at end of period,373.515,126.237,680.306,227.746,109.77
Free Cash Flow,-584.296,-554.069,-547.44,-630.674,-623.342
