Breakdown,ttm,6/30/2019,6/30/2018
Investments in property plant and equipment,-3500,-3013,-896.316
Other investing activites,27.324,56.916,-
Net cash used for investing activites,-3384,-2867,-886.367
Common stock issued,-,1500,7000
Common stock repurchased,-,-99,-569
Net cash used privided by (used for) financing activities,-,1401,6431
Net change in cash,64.374,-2237,4982
Cash at beginning of period,3388,4982,-
Cash at end of period,3452,2745,4982
Capital Expenditure,-3500,-3013,-896.316
Free Cash Flow,-4576,-3784,-1459
