Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-364.391,-263.154,-150.154,-242.907,-73.17
Acquisitions net,-,-,-,-660,-
Sales/Maturities of investments,-,500,-,-,207.531
Other investing activites,-,-250,-10.8,-,-
Net cash used for investing activites,-1091,-13.154,89.046,-902.907,134.361
Debt repayment,-110.198,-104.945,-12.565,-363.311,-41.269
Common stock issued,7339,2781,445.337,2100,-
Common stock repurchased,-,-,-,-147.859,-
Net cash used privided by (used for) financing activities,7229,2749,432.772,1589,-41.269
Net change in cash,2765,1188,-370.527,460.625,-448.305
Cash at beginning of period,311.719,568.187,938.714,478.089,926.394
Cash at end of period,3077,1756,568.187,938.714,478.089
Capital Expenditure,-364.391,-263.154,-150.154,-242.907,-73.17
Free Cash Flow,-3738,-1811,-1042,-468.205,-614.567
