Breakdown,ttm,2/28/2019,2/28/2018,2/28/2017
Net Income,876784,690096,416464,173352
Depreciation & amortization,-,446666,461031,425481
Change in working capital,-,-109130,9821,-316189
Inventory,-,-216022,-165579,-72241
Other working capital,-,905268,785793,-152243
Other non-cash items,-,220135,241055,313352
Net cash provided by operating activites,-,1226802,1160802,477500
Investments in property plant and equipment,-,-321534,-375009,-629743
Purchases of investments,-,-1747,-1686,-11618
Sales/Maturities of investments,-,-,10843,-
Other investing activites,-,-1463,160866,15972
Net cash used for investing activites,-,438100,-205470,-624995
Net change in cash,-,176235,158228,182417
Cash at beginning of period,-,1041038,882809,700392
Cash at end of period,-,1217273,1041038,882809
Operating Cash Flow,-,1226802,1160802,477500
Capital Expenditure,-,-321534,-375009,-629743
Free Cash Flow,-,905268,785793,-152243
