Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-428623,-167319,-52637,-2094467
Depreciation & amortization,-,-,-,339563
Change in working capital,-,-71842,109455,885930
Inventory,-,-59795,-5289,1405
Other working capital,-,-243935,72947,-457783
Other non-cash items,-,-6208,17720,50165
Net cash provided by operating activites,-,-243935,73847,-55886
Investments in property plant and equipment,-,-,-900,-401897
Acquisitions net,-,-598400,-,-
Purchases of investments,-,-62157,-,-79800
Sales/Maturities of investments,-,68153,-,-
Other investing activites,-,-875,-5378,23207
Net cash used for investing activites,-,-593279,-6278,-458490
Net change in cash,-,-959067,-71226,1630186
Cash at beginning of period,-,2450875,2522102,891915
Cash at end of period,-,1491808,2450875,2522102
Operating Cash Flow,-,-243935,73847,-55886
Capital Expenditure,-,-,-900,-401897
Free Cash Flow,-,-243935,72947,-457783
