Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,173599,121633,173540,247545
Depreciation & amortization,-,198365,163311,167350
Change in working capital,-,26305,60159,-49130
Inventory,-,-20202,-89136,-22085
Other working capital,-,92352,239024,327711
Other non-cash items,-,1639,2392,-2417
Net cash provided by operating activites,-,344794,349123,370758
Investments in property plant and equipment,-,-252442,-110099,-43047
Purchases of investments,-,-105116,-,-
Sales/Maturities of investments,-,-,100000,-
Other investing activites,-,-44,-200226,-6
Net cash used for investing activites,-,-356263,-208302,-39529
Net change in cash,-,-111930,40934,232022
Cash at beginning of period,-,3141803,3100868,2868846
Cash at end of period,-,3029872,3141803,3100868
Operating Cash Flow,-,344794,349123,370758
Capital Expenditure,-,-252442,-110099,-43047
Free Cash Flow,-,92352,239024,327711
