Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-42.719,-462.582,-,-
Other investing activites,-,-,-,-1078,-
Net cash used for investing activites,-,-42.719,-462.582,-1078,-
Common stock issued,6824,2431,2950,7170,6046
Common stock repurchased,-,-,-40.229,-43.129,-476.049
Net cash used privided by (used for) financing activities,6808,2431,2910,7127,5570
Net change in cash,3755,-181.941,-1959,3467,4115
Cash at beginning of period,5760,6185,8144,4678,562.927
Cash at end of period,9516,6003,6185,8144,4678
Capital Expenditure,-,-42.719,-462.582,-,-
Free Cash Flow,-3053,-2613,-4870,-2582,-1455
