Breakdown,ttm,1/31/2019,1/31/2018,1/31/2017
Net change in cash,-26292,-18701,39041,-68302
Cash at beginning of period,72116,78389,38522,103831
Cash at end of period,45824,60626,78389,38522
Free Cash Flow,-6496,-2368,62067,-49655
