Breakdown,ttm,2/28/2019,2/28/2018,2/28/2017
Net Income,1902710,1932166,1744882,1438576
Depreciation & amortization,-,231554,219559,207920
Change in working capital,-,197801,316228,-107308
Inventory,-,5916,22108,-10323
Other working capital,-,2200964,2144190,1259813
Other non-cash items,-,59401,48986,42903
Net cash provided by operating activites,-,2438407,2366539,1490257
Investments in property plant and equipment,-,-237443,-222349,-230444
Sales/Maturities of investments,-,-,-,4000000
Other investing activites,-,-142030,-166411,-94240
Net cash used for investing activites,-,-379473,-388760,3675316
Net change in cash,-,646553,566136,3808331
Cash at beginning of period,-,7773787,7207651,3399320
Cash at end of period,-,8420340,7773787,7207651
Operating Cash Flow,-,2438407,2366539,1490257
Capital Expenditure,-,-237443,-222349,-230444
Free Cash Flow,-,2200964,2144190,1259813
