Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,97153000,109839000,126778000,104857000
Depreciation & amortization,-,19166000,19379000,19343000
Change in working capital,-,-93762000,-29001000,-8870000
Inventory,-,-13494000,18781000,-12171000
Other working capital,-,4214000,105667000,159670000
Other non-cash items,-,9118000,4968000,63584000
Net cash provided by operating activites,-,30390000,120479000,187546000
Investments in property plant and equipment,-,-26176000,-14812000,-27876000
Acquisitions net,-,-2485000,-157000,-
Purchases of investments,-,-15600000,-4804000,-1596000
Sales/Maturities of investments,-,295000,5060000,1624000
Other investing activites,-,-1185000,-9784000,-2559000
Net cash used for investing activites,-,-25346000,-47354000,-31912000
Net change in cash,-,-73897000,21875000,132477000
Cash at beginning of period,-,389348000,367473000,234811000
Cash at end of period,-,315451000,389348000,367473000
Operating Cash Flow,-,30390000,120479000,187546000
Capital Expenditure,-,-26176000,-14812000,-27876000
Free Cash Flow,-,4214000,105667000,159670000
