Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1168972,1099249,756689,632815
Depreciation & amortization,-,61951,64709,41449
Change in working capital,-,-179916,-133340,-41695
Other working capital,-,1082213,540264,577998
Other non-cash items,-,74966,11949,13520
Net cash provided by operating activites,-,1121247,687767,600351
Investments in property plant and equipment,-,-39034,-147503,-22353
Sales/Maturities of investments,-,56818,29863,6800
Other investing activites,-,-262,14609,-142574
Net cash used for investing activites,-,17522,-103031,-158127
Net change in cash,-,1139994,586589,448770
Cash at beginning of period,-,3579631,2993041,2544271
Cash at end of period,-,4719626,3579631,2993041
Operating Cash Flow,-,1121247,687767,600351
Capital Expenditure,-,-39034,-147503,-22353
Free Cash Flow,-,1082213,540264,577998
