Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,671000,798000,-994000,415000
Depreciation & amortization,-,2069000,2341000,2705000
Change in working capital,-,-5380000,-319000,278000
Inventory,-,-5876000,423000,-1793000
Other working capital,-,-2612000,370000,2227000
Other non-cash items,-,500000,-1045000,102000
Net cash provided by operating activites,-,-2200000,1152000,3473000
Investments in property plant and equipment,-,-412000,-782000,-1246000
Acquisitions net,-,-249000,-274000,-
Purchases of investments,-,-,-,-1015000
Sales/Maturities of investments,-,-,103000,18000
Other investing activites,-,-215000,13000,-428000
Net cash used for investing activites,-,-835000,-905000,-2657000
Net change in cash,-,1906000,-225000,-916000
Cash at beginning of period,-,7261000,7430000,8346000
Cash at end of period,-,9167000,7261000,7430000
Operating Cash Flow,-,-2200000,1152000,3473000
Capital Expenditure,-,-412000,-782000,-1246000
Free Cash Flow,-,-2612000,370000,2227000
