Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-,-4731,-1.488,-
Other investing activites,-,-,-207.477,-,-
Net cash used for investing activites,1063,839.522,-4837,-1.488,-
Common stock issued,-,225,-,10300,2176
Common stock repurchased,-,-4.441,-30.23,-547.256,-140.376
Net cash used privided by (used for) financing activities,-175,220.559,2970,9753,2035
Net change in cash,-67.844,523.773,-7403,6493,-196.888
Cash at beginning of period,539.979,567.66,7709,1287,1473
Cash at end of period,472.135,1092,567.66,7709,1287
Capital Expenditure,-,-,-4731,-1.488,-
Free Cash Flow,-956.097,-536.308,-10266,-3259,-2232
