Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,110780,110780,104786,103385,95500
Interest Expense,43681,43681,35730,21709,18002
Income Before Tax,49783,49783,46635,45011,39929
Income Tax Expense,8228,8228,5062,9889,9049
Income from Continuing Operations,41555,41555,41573,35122,30880
Net Income,41555,41555,41573,35122,30880
Net Income available to common shareholders,41555,41555,41458,34994,30753
Basic EPS,-,-,1.64,1.44,1.35
Diluted EPS,-,-,1.63,1.43,1.34
Basic Average Shares,-,-,25294,24220,22746
Diluted Average Shares,-,-,25458,24475,23018
