Breakdown,3/31/2019,3/31/2018,3/31/2017
Total Assets,2503137000,2527794000,2570501000
Liabilities,,,
Total Liabilities,2387405000,2412268000,2454887000
Stockholders' Equity,,,
Common Stock,17000000,0,17000000
Retained Earnings,27938000,27362000,25493000
Total stockholders' equity,115372000,115139000,115210000
Total liabilities and stockholders' equity,2503137000,2527794000,2570501000
