Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,9091000,6426000,7367000,6107000
Depreciation & amortization,-,2677000,2119000,2514000
Stock based compensation,-,100000,110000,291000
Change in working capital,-,13778000,536000,11729000
Inventory,-,20064000,-3379000,12529000
Other working capital,-,-8090000,-20407000,-1278000
Other non-cash items,-,1761000,584000,1591000
Net cash provided by operating activites,-,22428000,9869000,22644000
Investments in property plant and equipment,-,-30518000,-30276000,-23922000
Acquisitions net,-,-1420000,-3353000,-2755000
Purchases of investments,-,-2625000,-929000,-832000
Sales/Maturities of investments,-,200000,-,-
Other investing activites,-,13000,16000,-31000
Net cash used for investing activites,-,-34347000,-34463000,-27540000
Net change in cash,-,-8491000,-581000,1233000
Cash at beginning of period,-,29042000,29623000,28390000
Cash at end of period,-,20642000,29042000,29623000
Operating Cash Flow,-,22428000,9869000,22644000
Capital Expenditure,-,-30518000,-30276000,-23922000
Free Cash Flow,-,-8090000,-20407000,-1278000
