Attribute,Value
Previous Close,26.13
Open,26.17
Bid,N/A x N/A
Ask,N/A x N/A
Day's Range,26.17 - 27.25
52 Week Range,20.01 - 32.23
Volume,5082
Avg. Volume,
Net Assets,
NAV,
PE Ratio (TTM),
Yield,
YTD Daily Total Return,
Beta (5Y Monthly),
Expense Ratio (net),
Inception Date,
