Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,3341290,2753297,2322347,1923931
Liabilities,,,,
Total Liabilities,3092122,2508108,2095887,1708878
Stockholders' Equity,,,,
Common Stock,594,593,575,573
Retained Earnings,-12216,-8716,-18983,-27888
Accumulated other comprehensive income,-7341,-11927,-7509,-7294
Total stockholders' equity,249168,245189,226460,215053
Total liabilities and stockholders' equity,3341290,2753297,2322347,1923931
